region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_oligodendrocyte <= -0.127 (lower half)  AND  age_at_visit_max <= 85.7 (low third),2,48,0.57009,0.56094,0.01428,0.64063,0.25871,0.48004,False
ceradsc = 4  AND  celltype_microglia > -0.077 (upper half),2,59,0.57378,0.56586,0.01248,0.63496,0.30846,0.548,False
apoe_genotype = 33  AND  age_first_ad_dx <= 89 (lower half),2,44,0.5668,0.55707,0.01541,0.63185,0.25871,0.48004,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  pmi > 6.5 (upper half),2,70,0.57687,0.56884,0.01271,0.63126,0.23881,0.46373,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  Study = MAP,2,94,0.58015,0.57315,0.01119,0.62525,0.27861,0.51129,False
Study = MAP,1,252,0.59382,0.59002,0.00617,0.61618,0.23383,0.46213,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  braaksc <= 3 (low third),2,59,0.57315,0.56586,0.01248,0.58432,0.32836,0.55955,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_endothelial -0.263-0.217 (middle third),2,64,0.57304,0.56586,0.01248,0.57564,0.32836,0.55955,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  pmi <= 6.5 (lower half),2,94,0.57913,0.57315,0.01119,0.53443,0.31343,0.5539,False
cts_mmse30_lv <= 26 (lower half),1,210,0.59044,0.58689,0.00688,0.51616,0.29353,0.52994,False
educ <= 14 (low third)  AND  celltype_neuron <= 0.0321 (lower half),2,81,0.57651,0.56979,0.01307,0.51407,0.32338,0.55675,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_astrocyte -0.186-0.235 (middle third),2,63,0.57227,0.56586,0.01248,0.51377,0.34826,0.56741,False
dcfdx_lv = 2,1,100,0.5798,0.57425,0.01099,0.50451,0.28358,0.51758,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  pmi <= 6.5 (lower half),2,62,0.57197,0.56586,0.01248,0.48985,0.34826,0.56741,False
educ <= 14 (low third)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,55,0.57184,0.56586,0.01248,0.47936,0.34826,0.56741,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  age_at_visit_max <= 88.9 (lower half),2,45,0.56433,0.55707,0.01541,0.47137,0.31841,0.5539,False
braaksc 3-4 (middle third),1,131,0.58536,0.58092,0.00974,0.45578,0.35821,0.57245,False
